 Grid PointsS_ActualS_actualSource Term Error
        1130 -0.81286869662622285      -0.81282435811539122        4.4338510831631872E-005
        1131 -0.81206622838202780      -0.81202273362065902        4.3494761368778612E-005
        1132 -0.81095614723924148      -0.81091346652829321        4.2680710948261869E-005
        1133 -0.80954255793205321      -0.80950066095561324        4.1896976439970146E-005
        1134 -0.80782940811199078      -0.80778826398672121        4.1144125269565457E-005
        1135 -0.80582048391632799      -0.80578006124120394        4.0422675124052176E-005
        1136 -0.80351940583233594      -0.80347967273711218        3.9733095223759562E-005
        1137 -0.80092962485486463      -0.80089054904797208        3.9075806892552301E-005
        1138 -0.79805441893575091      -0.79801596775226258        3.8451183488330543E-005
        1139 -0.79489688972391837      -0.79485903017312942        3.7859550788943430E-005
        1140 -0.79145995959632776      -0.79142265840955572        3.7301186772031869E-005
        1141 -0.78774636898051675      -0.78770959265856744        3.6776321949316682E-005
        1142 -0.78375867397058674      -0.78372238883170720        3.6285138879543766E-005
        1143 -0.77949924423946160      -0.77946341646810269        3.5827771358909466E-005
        1144 -0.77497026125139556      -0.77493485694720077        3.5404304194797120E-005
        1145 -0.77017371677973856      -0.77013870200781376        3.5014771924801735E-005
        1146 -0.76511141173596919      -0.76507675257765517        3.4659158314020999E-005
