 i S_real S_imag 
         150 -0.63557138832905469      -0.50580216470797956     
         151 -0.79291623061582661      -0.76938877666747374     
         152 -0.51023136303640171      -0.39939842914935775     
         153 -0.34660069961940332       -8.2747857330358054E-002
         154 -0.11018060949519373       -4.2431499592919607E-002
         155 -0.18583342737701419        4.1496126500629033E-002
         156 -0.73507596973206035      -0.60715785659873334     
         157 -0.11855263866005075        8.1719788590559991E-002
         158 -0.57664383184577028      -0.41110660316140235     
         159 -0.32559223027184969      -0.18452959083910425     
         160   4.2515993325058898E-002  0.45766210953410558     
         161  0.19187106711285587       0.45833741489266744     
         162   5.6111077075368249E-003  0.20869809950097715     
         163  0.15155118466834847       0.28397698539498262     
         164  -4.1879062670103100E-002   4.3937629917352873E-002
         165   5.2602993404161830E-002 -0.10068558890716940     
         166 -0.15419109940902589      -0.26682470478659143     
         167 -0.36383253768602408      -0.33295239000451260     
         168  0.39036906011121830       0.52840346621189960     
         169   6.6454737043316392E-002  0.22706049761462380     
         170  0.58508316301957164       0.80631224429769133     
         171 -0.16285903528239090       0.18778344639576403     
         172 -0.38460298389343794       -4.6230651062232703E-002
         173 -0.88322425488542888      -0.70409222790191595     
         174   4.3590249396877612E-003  0.32213272033300100     
         175 -0.53869180422402796      -0.44805724973832861     
         176  0.35446437300468758       0.56108154863506199     
         177 -0.33841938991683423      -0.49247644789329525     
         178  0.34280913280072361       0.21718459020417449     
         179 -0.52458350403379161      -0.65281385931702551     
         180  0.19744547832967935        3.1101291967041492E-002
         181  0.14651564577407325       0.26706454918914180     
         182  0.19948121344113090       0.16891740006081490     
         183  0.77616608364791961       0.64529424223135445     
         184   3.4704244453717559E-002 -0.13008110874742151     
         185  0.78261424400138391       0.26826824139236022     
         186  0.57160094976842735       0.43012704336116386     
         187   1.5135577281342707        1.1064095853855225     
         188  0.64988212054802241       0.65601696014681232     
         189   1.5670826763581940        1.2047574754119239     
         190  0.48952976774991314       0.32555175406954429     
         191  0.78173832837778767       0.32798984264079212     
         192  0.61761211514535141       0.44403641666173749     
         193  0.98912648145115856       0.69701424066011874     
         194  0.78520265097873754       0.50507280584858516     
         195  0.69728546423127602       0.43993481765307790     
         196  0.23384752731575550        9.4720107618663285E-002
         197 -0.70280878173562777      -0.71919420665753397     
         198 -0.56576792695846634      -0.69276138552807809     
         199 -0.36819743933548438      -0.40605890674997885     
         200 -0.11755911106474412      -0.12312872593045444     
         201   0.0000000000000000        0.0000000000000000     
         202 -0.72073935150308566       0.90669647420216848     
         203  -1.2711718526077485       0.95044978021404869     
         204  -4.3037937867207647        4.4535298447257459     
         205   2.0357687921948782       -1.5485179576150410     
         206 -0.94525853038843377       0.87737686432012452     
         207  -2.9220023264057135E-002 -0.20899621191735326     
         208 -0.26087317303565000       0.28231667917611275     
         209   2.5903607516869975       -2.7798213293468486     
         210  0.49973927088784953      -0.34566985428325120     
         211   1.4225373605178555       -1.4681918610673694     
         212   4.8845891812271898E-002  0.15530061244259899     
         213  -1.0708007296985649       0.99523112570204153     
         214  0.25999188762973136       -9.6428116567437008E-002
         215   1.8484276963967956       -1.9315103482165163     
         216  0.78545645206527936      -0.93157615149939366     
         217  0.22713371445361302       0.10777528397858860     
         218  -2.2798365162823910        2.3391473478721752     
         219  -7.0734693195808690E-002   5.9063137257959634E-002
         220 -0.21395974419450495       0.20714448366794627     
         221 -0.46794873210957216       0.46437766281618370     
         222  0.89966699881840040      -0.84667605519445066     
         223  0.38134054478064067      -0.37012321896777917     
         224 -0.71094765177456276       0.64784010476000187     
         225  -4.7326672771217555E-002 -0.10784711011299355     
         226  -7.8089873112734659E-002  0.25897077335894608     
         227  0.74412190610216422      -0.80377625652142848     
         228 -0.42062697059106025        9.0913073694285418E-002
         229  -2.2555024011270275        2.3150628299952047     
         230 -0.24484236394877690       0.16677286943838121     
         231   5.2860403640971748E-003  0.19814544693983394     
         232  0.41453215556052225      -0.44728951060961625     
         233  -1.0731471757651807        1.0456284717203908     
         234  0.36766872536915485      -0.35569543412894172     
         235   1.9881572767095714       -1.8927169606157752     
         236  -1.5004864065846142        1.5011791355107207     
         237 -0.15985854306017461       -3.8971588970278984E-002
         238   3.0823955236767304       -3.2270186637249605     
         239 -0.69668164284421741       0.57362791012769998     
         240  -1.3001173967954596        1.4477704324661231     
         241 -0.66983348620942895       0.67205698866527597     
         242   4.6929059642361402E-002  -9.4719344379051260E-002
         243   1.0552833356615436E-002  -8.2055997073404996E-002
         244   2.1134800642542864       -2.1731805114644431     
         245  -2.0468054691394717        2.0814198703755364     
         246 -0.61044995181968298       0.49288083962774254     
         247  0.26929249911733955      -0.33291585480434205     
         248 -0.20508391712131621       0.15601276884957482     
         249  -2.6892638359830547        2.6623174087599581     
         250   3.6262939506033285       -3.6076886295011881     
         251   1.2338365508136386       -1.2190434522052256     
         252  -1.3504266697150709        1.5295279834567697     
         253  0.58326123496640148      -0.59708507064883698     
         254 -0.85628024097693489       0.65713910408170184     
         255 -0.80355706142906380       0.71954873096441563     
         256 -0.97481533080441118       0.95999809570806061     
         257 -0.65084492886226997       0.81826144828008551     
         258 -0.42637221808685610       0.52281099245016005     
         259  0.25648167192429572      -0.26524665548689014     
         260 -0.63869145101127833       0.59175615755540267     
         261 -0.37216157214089163       0.36432495402677734     
         262  -1.1791347991927306        1.1433685593680272     
         263  0.74542763141122115      -0.74982342407273139     
         264  0.49878076229060297      -0.47850101636056164     
         265   7.0673332820501922E-002  -4.0082077035578881E-002
         266  -1.6115744554351512        1.6517986949119865     
         267  -1.8219398648519876        1.6559143803726344     
         268  -2.9209967801035108        2.8057913057706836     
         269  -2.2042160944796101        2.1818127613890481     
         270 -0.67187656455195555       0.66674799379886018     
         271  -1.3272717528690410        1.3894289633473074     
         272 -0.46835837145086145       0.54014566935994668     
         273 -0.14916651043930082       0.35118907528246451     
         274  0.83486627498401311      -0.34819017676525355     
         275  -2.5849514204539399        2.4251338688997817     
         276  0.97064720067362775       -1.1897395288909380     
         277 -0.76919475950464700       0.59804250619943211     
         278 -0.18320846969868090       -6.2709799290371765E-002
         279   1.7321228099912105       -1.8831851004221052     
         280 -0.28537422757077002       0.48246367077247532     
         281   6.0446810750545477E-002 -0.11669853383492065     
         282   2.0035036535031159       -2.0979390476335706     
         283   9.9847459561405137E-003  -4.8624183142953858E-002
         284 -0.56642533994962763       0.51419803062023128     
         285   6.8170215692560154E-002  -1.8800244865323362E-003
         286 -0.76260045243774754       0.86610113487864859     
         287  0.63193213823608407      -0.54696261927089873     
         288   1.5654745041858171       -1.6026296523049446     
         289   1.0507484998312875       -1.0929739184955916     
         290   8.7061350829355941E-002 -0.20810929256837837     
         291  0.41872899188192625      -0.32023788631330885     
